City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Ingeniero Guillermo N. Juárez,-23.9,-61.85,70.43,52,100,6.58,AR,1733256751
1,Hawaiian Paradise Park,19.5933,-154.9731,76.51,93,75,1.01,US,1733256752
2,Bilibino,68.0546,166.4372,-7.46,99,96,2.71,RU,1733256754
3,Port-aux-Français,-49.35,70.2167,42.75,84,94,22.03,TF,1733256755
4,Tsarychanka,48.937,34.4786,29.28,90,7,6.2,UA,1733256756
5,Ushuaia,-54.8,-68.3,43.84,74,18,16.58,AR,1733256478
6,Waitangi,-43.9535,-176.5597,59.83,96,39,11.01,NZ,1733256758
7,Brasiléia,-11.0161,-68.7481,91.85,62,75,3.44,BR,1733256759
8,Invercargill,-46.4,168.35,65.07,67,100,4.88,NZ,1733256760
9,Sinabang,2.4803,96.3801,76.59,87,100,5.91,ID,1733256761
10,Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,73,0,11.18,RU,1733256763
11,Vila Velha,-20.3297,-40.2925,82.35,81,20,19.57,BR,1733256616
12,Villa Pigna,42.8324,13.6335,49.12,87,84,1.54,IT,1733256766
13,Qaqortoq,60.7167,-46.0333,15.26,78,65,5.39,GL,1733256182
14,Laikit,1.4792,124.9735,74.25,94,40,2.3,ID,1733256768
15,Isafjordur,66.0755,-23.124,28.26,86,100,6.31,IS,1733256769
16,Alma,48.5501,-71.6491,24.8,89,100,4.16,CA,1733256770
17,Avarua,-21.2078,-159.775,78.85,73,75,12.66,CK,1733256620
18,Anadyr,64.75,177.4833,3.7,85,0,8.95,RU,1733256773
19,Miðvágur,62.0511,-7.1939,43.63,81,40,11.5,FO,1733256774
20,Suva,-18.1416,178.4415,83.68,84,75,4.61,FJ,1733256775
21,Blackmans Bay,-43.0167,147.3167,54.52,79,0,1.01,AU,1733256776
22,Lázaro Cárdenas,17.9583,-102.2,82.98,65,56,9.66,MX,1733256251
23,Enewetak,11.3474,162.3373,81.95,81,94,23.4,MH,1733256778
24,Alice Springs,-23.7,133.8833,78.35,69,100,3.44,AU,1733256779
25,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.33,87,100,16.98,SH,1733256780
26,Ust-Nera,64.5667,143.2,-4.02,98,96,1.23,RU,1733256782
27,Canguaretama,-6.38,-35.1289,80.13,68,26,13.02,BR,1733256783
28,Tongliao,43.6125,122.2653,15.93,46,0,11.52,CN,1733256784
29,Naryan-Mar,67.6713,53.087,27.55,97,100,11.54,RU,1733256785
30,Dunedin,-45.8742,170.5036,60.8,90,100,5.99,NZ,1733256786
31,Nichinan,31.6,131.3667,48.09,79,0,3.13,JP,1733256534
32,Pisco,-13.7,-76.2167,75.25,64,0,19.57,PE,1733256788
33,Gadzhiyevo,69.2551,33.3362,28.15,83,98,5.46,RU,1733256790
34,Jayapura,-2.5333,140.7,78.19,89,100,1.12,ID,1733256791
35,Margaret River,-33.95,115.0667,62.19,83,100,15.66,AU,1733256792
36,San Rafael,-34.6177,-68.3301,83.28,17,0,5.26,AR,1733256725
37,Lompoc,34.6391,-120.4579,74.7,61,0,4.61,US,1733256794
38,Grytviken,-54.2811,-36.5092,37.47,83,100,10.36,GS,1733256795
39,Puerto Ayora,-0.7393,-90.3518,72.55,93,100,8.99,EC,1733256797
40,Safi,32.1667,-8.8333,61.5,79,0,11.72,MA,1733256798
41,Cartagena del Chairá,1.3349,-74.8429,94.12,39,90,5.01,CO,1733256799
42,Tiksi,71.6872,128.8694,-12.17,95,14,8.93,RU,1733256801
43,Talnakh,69.4865,88.3972,9.3,92,100,27.83,RU,1733256802
44,Vilyuchinsk,52.9306,158.4028,21.47,81,7,7.61,RU,1733256803
45,Al Ghayzah,16.2079,52.176,75.24,49,23,1.81,YE,1733256805
46,Maumere,-8.6199,122.2111,80.96,82,100,4.14,ID,1733256806
47,Albany,42.6001,-73.9662,31.59,72,99,1.99,US,1733256522
48,Sokol'skoye,57.1412,43.1589,34.48,89,100,18.32,RU,1733256808
49,Port Mathurin,-19.6833,63.4167,76.64,74,3,17.69,MU,1733256809
50,Ad Dilam,23.9915,47.1627,62.78,37,0,8.77,SA,1733256810
51,Alofi,-19.0595,-169.9187,78.69,94,100,11.5,NU,1733256217
52,Santo Antônio do Içá,-3.1022,-67.9397,75.61,94,100,5.37,BR,1733256536
53,Thinadhoo,0.5333,72.9333,81.27,80,79,16.22,MV,1733256814
54,Egilsstadir,65.2653,-14.3948,35.51,80,75,6.91,IS,1733256815
55,Massakory,12.996,15.7293,74.71,16,2,10.36,TD,1733256816
56,Mariinsk,56.2139,87.7472,20.88,92,100,14.14,RU,1733256817
57,Papatowai,-46.5619,169.4708,66.36,64,100,4.05,NZ,1733256818
58,Adamstown,-25.066,-130.1015,74.39,82,6,13.89,PN,1733256820
59,Bikenibeu Village,1.3673,173.1241,84.16,74,20,8.05,KI,1733256822
60,Mount Gambier,-37.8333,140.7667,48.67,90,0,3.18,AU,1733256249
61,Olonkinbyen,70.9221,-8.7187,30.34,80,100,18.28,SJ,1733256824
62,Port Isabel,26.0734,-97.2086,75.24,90,100,12.66,US,1733256825
63,North Bend,43.4065,-124.2243,53.17,71,0,3.44,US,1733256826
64,Lebu,-37.6167,-73.65,57.56,64,4,16.02,CL,1733256827
65,Manta,-0.95,-80.7333,82.18,65,0,12.66,EC,1733256828
66,George Town,5.4112,100.3354,79.95,83,20,5.01,MY,1733256792
67,Flying Fish Cove,-10.4217,105.6791,81.54,81,100,15.9,CX,1733256831
68,Kasane,-17.8167,25.15,78.3,23,24,5.59,BW,1733256833
69,Abepura,-2.6333,140.5833,77.81,89,20,2.3,ID,1733256834
70,La Passe,45.5549,-0.8967,49.91,71,100,4.81,FR,1733256835
71,Alaghsas,17.0187,8.0168,68.83,17,53,12.15,NE,1733256712
72,Jalingo,8.8833,11.3667,75.42,27,65,3.87,NG,1733256839
73,Bethel,41.3712,-73.414,39.29,58,100,9.22,US,1733256591
74,Labrador City,52.9463,-66.9114,8.51,72,75,59.99,CA,1733256841
75,Kailua-Kona,19.6406,-155.9956,84.16,57,0,10.36,US,1733256842
76,Alta,69.9689,23.2717,27.19,69,40,9.22,NO,1733256843
77,Dudinka,69.4058,86.1778,10.13,92,100,33.64,RU,1733256844
78,Nemuro,43.3236,145.575,37.31,72,100,17.43,JP,1733256845
79,Grand Falls-Windsor,48.9332,-55.6649,30.51,73,29,5.3,CA,1733256847
80,Iskateley,67.6803,53.1512,27.55,97,100,11.43,RU,1733256848
81,Finisterra,42.9049,-9.2629,59.65,84,50,19.42,ES,1733256849
82,São João da Barra,-21.6403,-41.0511,80.69,92,100,7.7,BR,1733256827
83,Lagoa,39.05,-27.9833,63.39,80,37,9.71,PT,1733256851
84,Vega de Alatorre,20.0333,-96.6333,78.62,72,8,10.6,MX,1733256852
85,Grimmen,54.1121,13.0405,41.09,92,100,1.99,DE,1733256853
86,Mugia,43.1041,-9.2179,58.98,84,83,17.25,ES,1733256855
87,Oyama,36.3,139.8,51.98,66,100,3.65,JP,1733256856
88,Fale old settlement,-9.3852,-171.2468,81.72,79,64,14.16,TK,1733256857
89,Sitka,57.0531,-135.33,51.69,76,100,20.71,US,1733256605
90,Selfoss,63.9331,-20.9971,37.04,96,100,16.6,IS,1733256859
91,Fort McMurray,56.7268,-111.381,8.19,72,100,9.22,CA,1733256860
92,Puerto Natales,-51.7236,-72.4875,59.45,51,75,21.85,CL,1733256861
93,Kupang,-10.1667,123.5833,82.98,94,100,9.22,ID,1733256820
94,Māler Kotla,30.5167,75.8833,61.43,38,0,7.31,IN,1733256864
95,Porto-Novo,6.4965,2.6036,80.62,78,56,8.14,BJ,1733256865
96,Griffith,41.5284,-87.4237,31.86,59,0,13.8,US,1733256866
97,Praia da Vitória,38.7333,-27.0667,61.05,88,20,4.65,PT,1733256867
98,Tsiombe,-25.3,45.4833,80.01,55,0,4.45,MG,1733256868
99,Cascais,38.6979,-9.4215,60.06,76,20,4.61,PT,1733256869
100,Nuuk,64.1835,-51.7216,25.41,93,75,4.61,GL,1733256593
101,Staroaleyskoye,51.0061,82.0,14.31,98,96,2.71,RU,1733256871
102,Vorgashor,67.5833,63.95,24.82,93,89,14.79,RU,1733256873
103,Vadsø,70.0744,29.7487,26.76,86,20,25.32,NO,1733256874
104,Yellowknife,62.456,-114.3525,-7.08,84,20,14.97,CA,1733256875
105,Haiku-Pauwela,20.9219,-156.3051,80.22,70,40,5.01,US,1733256876
106,Iqaluit,63.7506,-68.5145,-6.07,71,75,14.97,CA,1733256877
107,Santa Elena de Uairen,4.6167,-61.1333,75.4,70,86,6.42,VE,1733256878
108,Huayacocotla,20.55,-98.4833,60.12,65,59,8.46,MX,1733256879
109,Kirakira,-10.4544,161.9205,82.53,79,100,5.59,SB,1733256880
110,Castillos,-34.1667,-53.8333,62.24,50,1,13.62,UY,1733256881
111,Anna Regina,7.2644,-58.5077,78.8,88,31,10.78,GY,1733256883
112,Codrington,-38.2667,141.9667,50.05,88,0,5.68,AU,1733256884
113,Wailua Homesteads,22.0669,-159.378,79.59,76,0,8.05,US,1733256885
114,Weno,7.4515,151.8468,76.95,94,100,9.22,FM,1733256886
115,Igarka,67.4667,86.5833,10.69,93,100,28.74,RU,1733256887
116,Hermanus,-34.4187,19.2345,57.79,82,65,1.41,ZA,1733256888
117,Peniche,39.3558,-9.3811,61.21,79,89,14.52,PT,1733256889
118,Clarence Town,-32.5833,151.7833,76.91,93,96,2.44,AU,1733256891
119,Al Jawf,29.5,38.75,57.87,47,33,9.1,SA,1733256893
120,Aasiaat,68.7098,-52.8699,8.13,93,100,1.39,GL,1733256894
121,Longyearbyen,78.2186,15.6401,6.64,61,40,8.05,SJ,1733256895
122,Kulhudhuffushi,6.6221,73.07,81.82,67,38,8.19,MV,1733256896
123,Nguigmi,14.2495,13.1092,69.3,23,0,12.88,NE,1733256788
124,Pemba,-12.974,40.5178,83.1,83,40,9.28,MZ,1733256899
125,Yung Shue Wan,22.2333,114.1167,71.62,77,58,20.49,HK,1733256900
126,Klyuchi,52.2667,79.1667,13.15,92,96,9.46,RU,1733256901
127,Saint Paul Harbor,57.79,-152.4072,44.11,93,100,12.66,US,1733256760
128,Lorengau,-2.0226,147.2712,80.67,82,80,2.39,PG,1733256903
129,Nova Sintra,14.8667,-24.7167,77.54,64,0,13.69,CV,1733256904
130,Utrik,11.2278,169.8474,82.08,79,29,16.13,MH,1733256905
131,Mahibadhoo,3.7833,72.9667,82.87,71,81,10.25,MV,1733256907
132,Hithadhoo,-0.6,73.0833,81.66,79,94,17.16,MV,1733256908
133,Reyes,-14.3167,-67.3833,89.56,70,75,0.0,BO,1733256909
134,Kyren,51.6828,102.1408,16.81,84,100,0.76,RU,1733256910
135,Medina,24.4686,39.6142,72.03,43,0,3.44,SA,1733256911
136,Xàbia,38.7833,0.1667,61.05,85,100,1.01,ES,1733256912
137,Hammerfest,70.6634,23.6821,28.85,54,75,6.91,NO,1733256913
138,Huarmey,-10.0681,-78.1522,73.29,75,29,10.22,PE,1733256914
